"index","Type","subcategory"
3340,"EMS","RESPIRATORY EMERGENCY"
3341,"Traffic","DISABLED VEHICLE -"
3342,"EMS","OVERDOSE"
3343,"Fire","BUILDING FIRE"
3344,"Traffic","DISABLED VEHICLE -"
3345,"EMS","SEIZURES"
3346,"Fire","FIRE ALARM"
3347,"EMS","BACK PAINS/INJURY"
3348,"EMS","FRACTURE"
3349,"Fire","S/B AT HELICOPTER LANDING"
3350,"EMS","CVA/STROKE"
3351,"Traffic","DISABLED VEHICLE -"
3352,"EMS","DIABETIC EMERGENCY"
3353,"EMS","MEDICAL ALERT ALARM"
3354,"EMS","CHOKING"
3355,"Traffic","DISABLED VEHICLE -"
3356,"EMS","MEDICAL ALERT ALARM"
3357,"Traffic","VEHICLE ACCIDENT -"
3358,"EMS","GENERAL WEAKNESS"
3359,"Fire","FIRE ALARM"
3360,"Traffic","VEHICLE ACCIDENT -"
3361,"EMS","STABBING"
3362,"Traffic","VEHICLE ACCIDENT -"
3363,"Traffic","VEHICLE ACCIDENT -"
3364,"Traffic","DISABLED VEHICLE -"
3365,"Traffic","VEHICLE ACCIDENT -"
3366,"EMS","VEHICLE ACCIDENT"
3367,"Fire","VEHICLE ACCIDENT"
3368,"Traffic","DISABLED VEHICLE -"
3369,"Traffic","VEHICLE ACCIDENT -"
3370,"Fire","FIRE ALARM"
3371,"EMS","RESPIRATORY EMERGENCY"
3372,"EMS","ABDOMINAL PAINS"
3373,"EMS","CARDIAC EMERGENCY"
3374,"EMS","RESPIRATORY EMERGENCY"
3375,"Traffic","VEHICLE ACCIDENT -"
3376,"Fire","BUILDING FIRE"
3377,"Fire","FIRE ALARM"
3378,"Fire","FIRE ALARM"
3379,"EMS","UNRESPONSIVE SUBJECT"
3380,"EMS","VEHICLE ACCIDENT"
3381,"Traffic","VEHICLE ACCIDENT -"
3382,"EMS","LACERATIONS"
3383,"Traffic","VEHICLE ACCIDENT -"
3384,"EMS","SUBJECT IN PAIN"
3385,"EMS","RESPIRATORY EMERGENCY"
3386,"Traffic","DISABLED VEHICLE -"
3387,"Fire","FIRE INVESTIGATION"
3388,"EMS","DIZZINESS"
3389,"EMS","FALL VICTIM"
3390,"EMS","RESPIRATORY EMERGENCY"
3391,"Fire","FIRE ALARM"
3392,"EMS","CVA/STROKE"
3393,"EMS","HEMORRHAGING"
3394,"Fire","FIRE ALARM"
3395,"EMS","DIZZINESS"
3396,"EMS","HEMORRHAGING"
3397,"Fire","GAS-ODOR/LEAK"
3398,"EMS","BACK PAINS/INJURY"
3399,"EMS","SUBJECT IN PAIN"
3400,"Traffic","DISABLED VEHICLE -"
3401,"EMS","CARDIAC EMERGENCY"
3402,"EMS","SUBJECT IN PAIN"
3403,"Traffic","VEHICLE ACCIDENT -"
3404,"EMS","CVA/STROKE"
3405,"Traffic","VEHICLE ACCIDENT -"
3406,"EMS","ABDOMINAL PAINS"
3407,"EMS","ALTERED MENTAL STATUS"
3408,"Traffic","VEHICLE ACCIDENT -"
3409,"EMS","CARDIAC EMERGENCY"
3410,"Traffic","DISABLED VEHICLE -"
3411,"Traffic","VEHICLE ACCIDENT -"
3412,"EMS","MEDICAL ALERT ALARM"
3413,"EMS","NAUSEA/VOMITING"
3414,"Traffic","VEHICLE ACCIDENT -"
3415,"EMS","FALL VICTIM"
3416,"Fire","FIRE ALARM"
3417,"Traffic","VEHICLE ACCIDENT -"
3418,"EMS","RESPIRATORY EMERGENCY"
3419,"EMS","SEIZURES"
3420,"Traffic","DISABLED VEHICLE -"
3421,"EMS","ALTERED MENTAL STATUS"
3422,"EMS","RESPIRATORY EMERGENCY"
3423,"EMS","DIZZINESS"
3424,"EMS","SYNCOPAL EPISODE"
3425,"EMS","SEIZURES"
3426,"EMS","UNCONSCIOUS SUBJECT"
3427,"Traffic","DISABLED VEHICLE -"
3428,"Traffic","VEHICLE ACCIDENT -"
3429,"EMS","CARDIAC EMERGENCY"
3430,"EMS","CVA/STROKE"
3431,"Traffic","VEHICLE ACCIDENT -"
3432,"Traffic","VEHICLE ACCIDENT -"
3433,"EMS","DIABETIC EMERGENCY"
3434,"EMS","FRACTURE"
3435,"Fire","FIRE ALARM"
3436,"Fire","FIRE ALARM"
3437,"EMS","SEIZURES"
3438,"EMS","SUBJECT IN PAIN"
3439,"Traffic","VEHICLE ACCIDENT -"
3440,"Traffic","VEHICLE ACCIDENT -"
3441,"Traffic","VEHICLE ACCIDENT -"
3442,"Traffic","VEHICLE ACCIDENT -"
3443,"EMS","HEAD INJURY"
3444,"EMS","FALL VICTIM"
3445,"Fire","FIRE ALARM"
3446,"EMS","NAUSEA/VOMITING"
3447,"Fire","FIRE ALARM"
3448,"EMS","ALTERED MENTAL STATUS"
3449,"EMS","UNKNOWN MEDICAL EMERGENCY"
3450,"Fire","FIRE ALARM"
3451,"EMS","HEAD INJURY"
3452,"Traffic","VEHICLE ACCIDENT -"
3453,"EMS","FALL VICTIM"
3454,"Traffic","VEHICLE ACCIDENT -"
3455,"EMS","RESPIRATORY EMERGENCY"
3456,"Traffic","VEHICLE ACCIDENT -"
3457,"EMS","NAUSEA/VOMITING"
3458,"EMS","SYNCOPAL EPISODE"
3459,"Traffic","VEHICLE ACCIDENT -"
3460,"Traffic","HAZARDOUS ROAD CONDITIONS -"
3461,"Traffic","VEHICLE ACCIDENT -"
3462,"EMS","CARDIAC EMERGENCY"
3463,"EMS","HEAD INJURY"
3464,"Traffic","VEHICLE ACCIDENT -"
3465,"EMS","CARDIAC EMERGENCY"
3466,"EMS","OVERDOSE"
3467,"Traffic","VEHICLE ACCIDENT -"
3468,"Traffic","VEHICLE ACCIDENT -"
3469,"Traffic","VEHICLE ACCIDENT -"
3470,"EMS","ANIMAL BITE"
3471,"EMS","VEHICLE ACCIDENT"
3472,"EMS","ALLERGIC REACTION"
3473,"EMS","HEAD INJURY"
3474,"Traffic","VEHICLE ACCIDENT -"
3475,"Traffic","VEHICLE ACCIDENT -"
3476,"EMS","SYNCOPAL EPISODE"
3477,"Traffic","VEHICLE ACCIDENT -"
3478,"Traffic","VEHICLE ACCIDENT -"
3479,"Traffic","VEHICLE ACCIDENT -"
3480,"EMS","SUBJECT IN PAIN"
3481,"EMS","CARDIAC EMERGENCY"
3482,"EMS","RESPIRATORY EMERGENCY"
3483,"Fire","VEHICLE FIRE"
3484,"Traffic","ROAD OBSTRUCTION -"
3485,"Traffic","VEHICLE FIRE -"
3486,"Fire","FIRE ALARM"
3487,"Traffic","VEHICLE ACCIDENT -"
3488,"Traffic","VEHICLE ACCIDENT -"
3489,"Fire","VEHICLE ACCIDENT"
3490,"Traffic","VEHICLE ACCIDENT -"
3491,"Traffic","VEHICLE ACCIDENT -"
3492,"EMS","SYNCOPAL EPISODE"
3493,"Traffic","DISABLED VEHICLE -"
3494,"EMS","GENERAL WEAKNESS"
3495,"Fire","FIRE ALARM"
3496,"Traffic","DISABLED VEHICLE -"
3497,"EMS","FALL VICTIM"
3498,"Traffic","DISABLED VEHICLE -"
3499,"EMS","NAUSEA/VOMITING"
3500,"EMS","VEHICLE ACCIDENT"
3501,"Traffic","VEHICLE ACCIDENT -"
3502,"EMS","CARDIAC EMERGENCY"
3503,"Fire","FIRE ALARM"
3504,"Fire","FIRE INVESTIGATION"
3505,"Fire","FIRE INVESTIGATION"
3506,"Traffic","VEHICLE ACCIDENT -"
3507,"Traffic","VEHICLE ACCIDENT -"
3508,"Traffic","VEHICLE ACCIDENT -"
3509,"EMS","FALL VICTIM"
3510,"EMS","UNKNOWN MEDICAL EMERGENCY"
3511,"Fire","FIRE INVESTIGATION"
3512,"EMS","GENERAL WEAKNESS"
3513,"Fire","FIRE INVESTIGATION"
3514,"EMS","HEAD INJURY"
3515,"EMS","MATERNITY"
3516,"Traffic","DISABLED VEHICLE -"
3517,"EMS","HEAD INJURY"
3518,"EMS","SYNCOPAL EPISODE"
3519,"EMS","RESPIRATORY EMERGENCY"
3520,"Traffic","VEHICLE ACCIDENT -"
3521,"EMS","GENERAL WEAKNESS"
3522,"EMS","ABDOMINAL PAINS"
3523,"EMS","CARDIAC EMERGENCY"
3524,"Traffic","VEHICLE ACCIDENT -"
3525,"Traffic","VEHICLE ACCIDENT -"
3526,"EMS","FALL VICTIM"
3527,"Traffic","VEHICLE ACCIDENT -"
3528,"Fire","VEHICLE ACCIDENT"
3529,"EMS","SUBJECT IN PAIN"
3530,"EMS","VEHICLE ACCIDENT"
3531,"Traffic","VEHICLE ACCIDENT -"
3532,"Traffic","VEHICLE ACCIDENT -"
3533,"EMS","DIABETIC EMERGENCY"
3534,"Traffic","ROAD OBSTRUCTION -"
3535,"Fire","FIRE INVESTIGATION"
3536,"Traffic","ROAD OBSTRUCTION -"
3537,"Traffic","VEHICLE ACCIDENT -"
3538,"EMS","CARDIAC EMERGENCY"
3539,"Traffic","ROAD OBSTRUCTION -"
3540,"Traffic","VEHICLE ACCIDENT -"
3541,"Traffic","VEHICLE ACCIDENT -"
3542,"Fire","APPLIANCE FIRE"
3543,"Traffic","VEHICLE ACCIDENT -"
3544,"Traffic","VEHICLE ACCIDENT -"
3545,"Traffic","VEHICLE ACCIDENT -"
3546,"Traffic","DISABLED VEHICLE -"
3547,"Traffic","VEHICLE ACCIDENT -"
3548,"Traffic","DISABLED VEHICLE -"
3549,"Traffic","ROAD OBSTRUCTION -"
3550,"EMS","FALL VICTIM"
3551,"EMS","RESPIRATORY EMERGENCY"
3552,"EMS","VEHICLE ACCIDENT"
3553,"Fire","VEHICLE ACCIDENT"
3554,"Traffic","VEHICLE ACCIDENT -"
3555,"EMS","OVERDOSE"
3556,"Traffic","VEHICLE ACCIDENT -"
3557,"EMS","FALL VICTIM"
3558,"Fire","GAS-ODOR/LEAK"
3559,"EMS","VEHICLE ACCIDENT"
3560,"Traffic","VEHICLE ACCIDENT -"
3561,"EMS","ABDOMINAL PAINS"
3562,"EMS","CARDIAC EMERGENCY"
3563,"EMS","SYNCOPAL EPISODE"
3564,"Traffic","DISABLED VEHICLE -"
3565,"Traffic","VEHICLE ACCIDENT -"
3566,"Traffic","VEHICLE ACCIDENT -"
3567,"Traffic","ROAD OBSTRUCTION -"
3568,"EMS","ALTERED MENTAL STATUS"
3569,"Traffic","DISABLED VEHICLE -"
3570,"Traffic","VEHICLE ACCIDENT -"
3571,"Traffic","VEHICLE ACCIDENT -"
3572,"EMS","NAUSEA/VOMITING"
3573,"EMS","RESPIRATORY EMERGENCY"
3574,"Traffic","VEHICLE ACCIDENT -"
3575,"Traffic","VEHICLE ACCIDENT -"
3576,"EMS","UNRESPONSIVE SUBJECT"
3577,"EMS","MEDICAL ALERT ALARM"
3578,"Traffic","DISABLED VEHICLE -"
3579,"Fire","FIRE INVESTIGATION"
3580,"Traffic","VEHICLE ACCIDENT -"
3581,"Traffic","VEHICLE ACCIDENT -"
3582,"Traffic","VEHICLE ACCIDENT -"
3583,"EMS","HEMORRHAGING"
3584,"EMS","CHOKING"
3585,"Traffic","DISABLED VEHICLE -"
3586,"EMS","NAUSEA/VOMITING"
3587,"Fire","FIRE ALARM"
3588,"Traffic","DISABLED VEHICLE -"
3589,"EMS","FALL VICTIM"
3590,"EMS","HEMORRHAGING"
3591,"EMS","RESPIRATORY EMERGENCY"
3592,"EMS","DIABETIC EMERGENCY"
3593,"Fire","FIRE ALARM"
3594,"Traffic","VEHICLE ACCIDENT -"
3595,"Traffic","VEHICLE ACCIDENT -"
3596,"EMS","GENERAL WEAKNESS"
3597,"Traffic","VEHICLE ACCIDENT -"
3598,"Traffic","DISABLED VEHICLE -"
3599,"EMS","GENERAL WEAKNESS"
3600,"EMS","SUBJECT IN PAIN"
3601,"Traffic","VEHICLE ACCIDENT -"
3602,"EMS","DIZZINESS"
3603,"Traffic","DISABLED VEHICLE -"
3604,"EMS","VEHICLE ACCIDENT"
3605,"Fire","VEHICLE ACCIDENT"
3606,"EMS","RESPIRATORY EMERGENCY"
3607,"EMS","CARDIAC EMERGENCY"
3608,"Fire","FIRE ALARM"
3609,"Traffic","VEHICLE ACCIDENT -"
3610,"EMS","FALL VICTIM"
3611,"Traffic","VEHICLE ACCIDENT -"
3612,"Fire","FIRE ALARM"
3613,"EMS","ALTERED MENTAL STATUS"
3614,"EMS","MEDICAL ALERT ALARM"
3615,"Traffic","VEHICLE ACCIDENT -"
3616,"Fire","FIRE ALARM"
3617,"Traffic","VEHICLE ACCIDENT -"
3618,"EMS","HEAD INJURY"
3619,"EMS","RESPIRATORY EMERGENCY"
3620,"EMS","FALL VICTIM"
3621,"Traffic","DISABLED VEHICLE -"
3622,"Traffic","VEHICLE ACCIDENT -"
3623,"Traffic","VEHICLE ACCIDENT -"
3624,"EMS","VEHICLE ACCIDENT"
3625,"EMS","FEVER"
3626,"EMS","GENERAL WEAKNESS"
3627,"EMS","VEHICLE ACCIDENT"
3628,"Traffic","VEHICLE ACCIDENT -"
3629,"EMS","FALL VICTIM"
3630,"EMS","RESPIRATORY EMERGENCY"
3631,"EMS","ABDOMINAL PAINS"
3632,"EMS","UNCONSCIOUS SUBJECT"
3633,"EMS","CARDIAC EMERGENCY"
3634,"Traffic","VEHICLE ACCIDENT -"
3635,"Traffic","VEHICLE ACCIDENT -"
3636,"EMS","OVERDOSE"
3637,"Fire","GAS-ODOR/LEAK"
3638,"Fire","FIRE ALARM"
3639,"EMS","ALTERED MENTAL STATUS"
3640,"EMS","CARDIAC EMERGENCY"
3641,"EMS","RESPIRATORY EMERGENCY"
3642,"EMS","RESPIRATORY EMERGENCY"
3643,"Traffic","VEHICLE ACCIDENT -"
3644,"EMS","ALTERED MENTAL STATUS"
3645,"EMS","RESPIRATORY EMERGENCY"
3646,"EMS","LACERATIONS"
3647,"EMS","SUBJECT IN PAIN"
3648,"EMS","FALL VICTIM"
3649,"Fire","FIRE INVESTIGATION"
3650,"EMS","HEMORRHAGING"
3651,"EMS","OVERDOSE"
3652,"EMS","DIABETIC EMERGENCY"
3653,"EMS","DIABETIC EMERGENCY"
3654,"EMS","CARDIAC EMERGENCY"
3655,"Fire","FIRE ALARM"
3656,"EMS","NAUSEA/VOMITING"
3657,"Fire","RESCUE - ELEVATOR"
3658,"EMS","EMS SPECIAL SERVICE"
3659,"EMS","RESPIRATORY EMERGENCY"
3660,"EMS","HEMORRHAGING"
3661,"EMS","SYNCOPAL EPISODE"
3662,"EMS","RESPIRATORY EMERGENCY"
3663,"EMS","OVERDOSE"
3664,"EMS","CARDIAC EMERGENCY"
3665,"EMS","HEMORRHAGING"
3666,"Traffic","VEHICLE ACCIDENT -"
3667,"EMS","UNRESPONSIVE SUBJECT"
3668,"EMS","CARDIAC EMERGENCY"
3669,"Fire","FIRE ALARM"
3670,"EMS","DIABETIC EMERGENCY"
3671,"EMS","HEAD INJURY"
3672,"EMS","UNKNOWN MEDICAL EMERGENCY"
3673,"Traffic","HAZARDOUS ROAD CONDITIONS -"
3674,"EMS","BACK PAINS/INJURY"
3675,"EMS","CARDIAC EMERGENCY"
3676,"EMS","FALL VICTIM"
3677,"EMS","RESPIRATORY EMERGENCY"
3678,"Traffic","ROAD OBSTRUCTION -"
3679,"Fire","FIRE ALARM"
3680,"Traffic","VEHICLE ACCIDENT -"
3681,"EMS","MEDICAL ALERT ALARM"
3682,"EMS","FALL VICTIM"
3683,"Traffic","DISABLED VEHICLE -"
3684,"EMS","DIZZINESS"
3685,"Traffic","VEHICLE ACCIDENT -"
3686,"Traffic","VEHICLE ACCIDENT -"
3687,"Traffic","ROAD OBSTRUCTION -"
3688,"EMS","GENERAL WEAKNESS"
3689,"Traffic","VEHICLE ACCIDENT -"
3690,"EMS","NAUSEA/VOMITING"
3691,"EMS","CARDIAC EMERGENCY"
3692,"EMS","VEHICLE ACCIDENT"
3693,"Traffic","VEHICLE ACCIDENT -"
3694,"EMS","RESPIRATORY EMERGENCY"
3695,"Traffic","VEHICLE ACCIDENT -"
3696,"EMS","UNRESPONSIVE SUBJECT"
3697,"Traffic","VEHICLE ACCIDENT -"
3698,"Traffic","VEHICLE ACCIDENT -"
3699,"Traffic","VEHICLE ACCIDENT -"
3700,"Traffic","VEHICLE ACCIDENT -"
3701,"Traffic","VEHICLE ACCIDENT -"
3702,"EMS","DIABETIC EMERGENCY"
3703,"EMS","VEHICLE ACCIDENT"
3704,"Traffic","VEHICLE ACCIDENT -"
3705,"Traffic","VEHICLE ACCIDENT -"
3706,"EMS","CARDIAC EMERGENCY"
3707,"EMS","RESPIRATORY EMERGENCY"
3708,"EMS","SUBJECT IN PAIN"
3709,"EMS","CARDIAC EMERGENCY"
3710,"EMS","FALL VICTIM"
3711,"EMS","CARDIAC EMERGENCY"
3712,"Traffic","VEHICLE ACCIDENT -"
3713,"Traffic","VEHICLE ACCIDENT -"
3714,"EMS","ASSAULT VICTIM"
3715,"EMS","FALL VICTIM"
3716,"Traffic","VEHICLE ACCIDENT -"
3717,"Traffic","VEHICLE ACCIDENT -"
3718,"Traffic","VEHICLE ACCIDENT -"
3719,"EMS","UNKNOWN MEDICAL EMERGENCY"
3720,"Traffic","ROAD OBSTRUCTION -"
3721,"Traffic","VEHICLE ACCIDENT -"
3722,"Traffic","VEHICLE ACCIDENT -"
3723,"EMS","FALL VICTIM"
3724,"EMS","FALL VICTIM"
3725,"EMS","CARDIAC EMERGENCY"
3726,"EMS","CARDIAC EMERGENCY"
3727,"EMS","SYNCOPAL EPISODE"
3728,"Traffic","VEHICLE ACCIDENT -"
3729,"Traffic","VEHICLE ACCIDENT -"
3730,"EMS","FALL VICTIM"
3731,"EMS","RESPIRATORY EMERGENCY"
3732,"EMS","RESPIRATORY EMERGENCY"
3733,"Traffic","DISABLED VEHICLE -"
3734,"Traffic","VEHICLE ACCIDENT -"
3735,"Traffic","VEHICLE ACCIDENT -"
3736,"Traffic","VEHICLE ACCIDENT -"
3737,"Fire","FIRE ALARM"
3738,"EMS","FALL VICTIM"
3739,"Traffic","VEHICLE ACCIDENT -"
3740,"Traffic","VEHICLE ACCIDENT -"
3741,"EMS","CARDIAC EMERGENCY"
3742,"EMS","RESPIRATORY EMERGENCY"
3743,"Traffic","VEHICLE ACCIDENT -"
3744,"EMS","OVERDOSE"
3745,"EMS","CARDIAC EMERGENCY"
3746,"EMS","MEDICAL ALERT ALARM"
3747,"EMS","RESPIRATORY EMERGENCY"
3748,"Traffic","VEHICLE ACCIDENT -"
3749,"EMS","SUBJECT IN PAIN"
3750,"EMS","UNKNOWN MEDICAL EMERGENCY"
3751,"EMS","ABDOMINAL PAINS"
3752,"EMS","SUBJECT IN PAIN"
3753,"EMS","HEMORRHAGING"
3754,"EMS","ABDOMINAL PAINS"
3755,"Traffic","VEHICLE ACCIDENT -"
3756,"EMS","DIZZINESS"
3757,"EMS","SYNCOPAL EPISODE"
3758,"Traffic","VEHICLE ACCIDENT -"
3759,"Traffic","VEHICLE ACCIDENT -"
3760,"Fire","FIRE ALARM"
3761,"EMS","RESPIRATORY EMERGENCY"
3762,"Traffic","VEHICLE ACCIDENT -"
3763,"Traffic","VEHICLE ACCIDENT -"
3764,"Traffic","VEHICLE ACCIDENT -"
3765,"EMS","UNRESPONSIVE SUBJECT"
3766,"EMS","CARDIAC EMERGENCY"
3767,"Traffic","VEHICLE ACCIDENT -"
3768,"Fire","FIRE INVESTIGATION"
3769,"EMS","GENERAL WEAKNESS"
3770,"Fire","FIRE ALARM"
3771,"Traffic","DISABLED VEHICLE -"
3772,"Fire","VEHICLE ACCIDENT"
3773,"EMS","VEHICLE ACCIDENT"
3774,"Traffic","VEHICLE ACCIDENT -"
3775,"EMS","VEHICLE ACCIDENT"
3776,"Traffic","VEHICLE ACCIDENT -"
3777,"EMS","HEAD INJURY"
3778,"EMS","SYNCOPAL EPISODE"
3779,"EMS","ALTERED MENTAL STATUS"
3780,"Traffic","ROAD OBSTRUCTION -"
3781,"Fire","FIRE SPECIAL SERVICE"
3782,"EMS","CARDIAC EMERGENCY"
3783,"Traffic","VEHICLE ACCIDENT -"
3784,"Fire","FIRE SPECIAL SERVICE"
3785,"EMS","SYNCOPAL EPISODE"
3786,"EMS","FALL VICTIM"
3787,"Traffic","ROAD OBSTRUCTION -"
3788,"EMS","ABDOMINAL PAINS"
3789,"EMS","FALL VICTIM"
3790,"Fire","FIRE ALARM"
3791,"EMS","GENERAL WEAKNESS"
3792,"Traffic","VEHICLE ACCIDENT -"
3793,"Fire","FIRE ALARM"
3794,"Traffic","VEHICLE ACCIDENT -"
3795,"Traffic","DISABLED VEHICLE -"
3796,"EMS","VEHICLE ACCIDENT"
3797,"Traffic","VEHICLE ACCIDENT -"
3798,"EMS","HEAD INJURY"
3799,"Traffic","VEHICLE ACCIDENT -"
3800,"Traffic","VEHICLE ACCIDENT -"
3801,"Traffic","VEHICLE ACCIDENT -"
3802,"Traffic","VEHICLE ACCIDENT -"
3803,"Fire","FIRE ALARM"
3804,"Traffic","VEHICLE ACCIDENT -"
3805,"Traffic","VEHICLE ACCIDENT -"
3806,"EMS","FALL VICTIM"
3807,"EMS","SEIZURES"
3808,"EMS","RESPIRATORY EMERGENCY"
3809,"EMS","UNKNOWN MEDICAL EMERGENCY"
3810,"Fire","FIRE SPECIAL SERVICE"
3811,"EMS","RESPIRATORY EMERGENCY"
3812,"EMS","VEHICLE ACCIDENT"
3813,"Traffic","VEHICLE ACCIDENT -"
3814,"EMS","CARDIAC EMERGENCY"
3815,"EMS","UNRESPONSIVE SUBJECT"
3816,"EMS","UNRESPONSIVE SUBJECT"
3817,"EMS","RESPIRATORY EMERGENCY"
3818,"EMS","BACK PAINS/INJURY"
3819,"Traffic","VEHICLE ACCIDENT -"
3820,"Traffic","VEHICLE ACCIDENT -"
3821,"EMS","SYNCOPAL EPISODE"
3822,"Traffic","VEHICLE ACCIDENT -"
3823,"Traffic","VEHICLE ACCIDENT -"
3824,"EMS","FRACTURE"
3825,"Traffic","VEHICLE ACCIDENT -"
3826,"EMS","FALL VICTIM"
3827,"EMS","VEHICLE ACCIDENT"
3828,"Traffic","VEHICLE ACCIDENT -"
3829,"Fire","CARBON MONOXIDE DETECTOR"
3830,"Traffic","DISABLED VEHICLE -"
3831,"Traffic","HAZARDOUS ROAD CONDITIONS -"
3832,"Traffic","VEHICLE ACCIDENT -"
3833,"Fire","FIRE ALARM"
3834,"EMS","ALTERED MENTAL STATUS"
3835,"EMS","HEAD INJURY"
3836,"EMS","HEMORRHAGING"
3837,"Traffic","ROAD OBSTRUCTION -"
3838,"EMS","CARDIAC EMERGENCY"
3839,"EMS","SUBJECT IN PAIN"
3840,"Traffic","VEHICLE ACCIDENT -"
3841,"Traffic","VEHICLE ACCIDENT -"
3842,"Traffic","VEHICLE ACCIDENT -"
3843,"EMS","RESPIRATORY EMERGENCY"
3844,"Fire","FIRE ALARM"
3845,"Traffic","VEHICLE ACCIDENT -"
3846,"Traffic","VEHICLE ACCIDENT -"
3847,"Traffic","VEHICLE ACCIDENT -"
3848,"Fire","FIRE SPECIAL SERVICE"
3849,"EMS","UNRESPONSIVE SUBJECT"
3850,"Traffic","DISABLED VEHICLE -"
3851,"Traffic","VEHICLE ACCIDENT -"
3852,"Traffic","VEHICLE ACCIDENT -"
3853,"Traffic","VEHICLE ACCIDENT -"
3854,"Traffic","VEHICLE ACCIDENT -"
3855,"Traffic","VEHICLE ACCIDENT -"
3856,"Fire","VEHICLE ACCIDENT"
3857,"EMS","VEHICLE ACCIDENT"
3858,"EMS","VEHICLE ACCIDENT"
3859,"EMS","HEMORRHAGING"
3860,"Traffic","VEHICLE ACCIDENT -"
3861,"Traffic","VEHICLE ACCIDENT -"
3862,"Traffic","VEHICLE ACCIDENT -"
3863,"Traffic","VEHICLE ACCIDENT -"
3864,"EMS","UNRESPONSIVE SUBJECT"
3865,"Traffic","VEHICLE ACCIDENT -"
3866,"EMS","SYNCOPAL EPISODE"
3867,"Traffic","VEHICLE ACCIDENT -"
3868,"Traffic","VEHICLE ACCIDENT -"
3869,"EMS","HEAD INJURY"
3870,"Traffic","VEHICLE ACCIDENT -"
3871,"Traffic","VEHICLE ACCIDENT -"
3872,"EMS","HEAD INJURY"
3873,"Traffic","VEHICLE ACCIDENT -"
3874,"Fire","FIRE ALARM"
3875,"Traffic","DISABLED VEHICLE -"
3876,"Fire","VEHICLE ACCIDENT"
3877,"EMS","DIZZINESS"
3878,"EMS","FALL VICTIM"
3879,"Traffic","DISABLED VEHICLE -"
3880,"Traffic","VEHICLE ACCIDENT -"
3881,"EMS","CARDIAC EMERGENCY"
3882,"EMS","RESPIRATORY EMERGENCY"
3883,"Traffic","VEHICLE ACCIDENT -"
3884,"Traffic","VEHICLE ACCIDENT -"
3885,"Fire","FIRE ALARM"
3886,"Fire","VEHICLE ACCIDENT"
3887,"Traffic","VEHICLE ACCIDENT -"
3888,"Traffic","VEHICLE ACCIDENT -"
3889,"Traffic","VEHICLE ACCIDENT -"
3890,"Traffic","VEHICLE ACCIDENT -"
3891,"Traffic","VEHICLE ACCIDENT -"
3892,"Fire","FIRE ALARM"
3893,"Traffic","VEHICLE ACCIDENT -"
3894,"Traffic","VEHICLE ACCIDENT -"
3895,"EMS","SYNCOPAL EPISODE"
3896,"Fire","VEHICLE FIRE"
3897,"Traffic","VEHICLE ACCIDENT -"
3898,"Traffic","VEHICLE ACCIDENT -"
3899,"Traffic","VEHICLE FIRE -"
3900,"EMS","RESPIRATORY EMERGENCY"
3901,"EMS","FRACTURE"
3902,"Traffic","VEHICLE ACCIDENT -"
3903,"Fire","FIRE ALARM"
3904,"Traffic","VEHICLE ACCIDENT -"
3905,"Traffic","VEHICLE ACCIDENT -"
3906,"Fire","CARBON MONOXIDE DETECTOR"
3907,"Fire","VEHICLE ACCIDENT"
3908,"EMS","VEHICLE ACCIDENT"
3909,"Traffic","VEHICLE ACCIDENT -"
3910,"Traffic","VEHICLE ACCIDENT -"
3911,"Traffic","VEHICLE ACCIDENT -"
3912,"Traffic","VEHICLE ACCIDENT -"
3913,"Fire","FIRE INVESTIGATION"
3914,"Traffic","DISABLED VEHICLE -"
3915,"Traffic","VEHICLE ACCIDENT -"
3916,"Fire","VEHICLE ACCIDENT"
3917,"EMS","UNKNOWN MEDICAL EMERGENCY"
3918,"EMS","VEHICLE ACCIDENT"
3919,"Traffic","VEHICLE ACCIDENT -"
3920,"EMS","MEDICAL ALERT ALARM"
3921,"Fire","FIRE ALARM"
3922,"Fire","FIRE ALARM"
3923,"Traffic","VEHICLE ACCIDENT -"
3924,"Fire","FIRE INVESTIGATION"
3925,"EMS","FALL VICTIM"
3926,"Traffic","VEHICLE ACCIDENT -"
3927,"EMS","FALL VICTIM"
3928,"EMS","RESPIRATORY EMERGENCY"
3929,"Traffic","VEHICLE ACCIDENT -"
3930,"Traffic","DISABLED VEHICLE -"
3931,"Traffic","DISABLED VEHICLE -"
3932,"Traffic","VEHICLE ACCIDENT -"
3933,"Traffic","DISABLED VEHICLE -"
3934,"Traffic","DISABLED VEHICLE -"
3935,"EMS","RESPIRATORY EMERGENCY"
3936,"Traffic","VEHICLE ACCIDENT -"
3937,"EMS","VEHICLE ACCIDENT"
3938,"Traffic","VEHICLE ACCIDENT -"
3939,"Traffic","DISABLED VEHICLE -"
3940,"Traffic","VEHICLE ACCIDENT -"
3941,"EMS","VEHICLE ACCIDENT"
3942,"Traffic","VEHICLE ACCIDENT -"
3943,"Traffic","DISABLED VEHICLE -"
3944,"Traffic","DISABLED VEHICLE -"
3945,"Traffic","VEHICLE ACCIDENT -"
3946,"Traffic","VEHICLE ACCIDENT -"
3947,"Traffic","VEHICLE ACCIDENT -"
3948,"EMS","UNRESPONSIVE SUBJECT"
3949,"Traffic","VEHICLE ACCIDENT -"
3950,"Traffic","DISABLED VEHICLE -"
3951,"Traffic","DISABLED VEHICLE -"
